min,max,mean,median,sd,sum,count,id
279,314,302.0,313.0,16.268579122549905,906,3,216
252,325,297.6666666666667,316.0,32.49957264676294,893,3,217
143,160,148.66666666666666,143.0,8.013876853447538,446,3,218
117,163,141.0,142.0,19.836834424877374,564,4,219
176,196,186.0,186.0,10.0,372,2,220
228,323,286.3333333333333,308.0,41.69998667732268,859,3,221
212,339,263.625,249.0,43.473950533624155,2109,8,222
1012,1856,1429.76,1450.0,228.87503664663825,35744,25,223
200,278,249.0,256.5,23.021728866442675,1992,8,224
326,358,344.6666666666667,350.0,13.59738536958076,1034,3,225
212,333,256.1666666666667,239.5,41.790815046158436,1537,6,226
242,292,266.6,264.5,16.853486286225767,2666,10,227
146,198,169.4,169.0,19.11648503255763,847,5,228
220,220,220.0,220.0,0.0,220,1,229
136,184,160.0,160.0,24.0,320,2,230
638,1042,811.3636363636364,816.0,108.16508655944959,17850,22,231
186,382,254.72727272727272,231.0,56.7419852715957,2802,11,232
211,371,306.0232558139535,318.0,38.886530442619744,13159,43,233
452,1706,942.5294117647059,736.0,383.72786276782125,16023,17,234
85,199,141.47619047619048,140.0,27.427165969282644,2971,21,235
201,273,244.16666666666666,260.0,29.896581001103716,1465,6,236
154,270,203.125,204.5,35.1547916364185,1625,8,237
1274,1722,1509.4545454545455,1496.0,132.21770176930556,16604,11,238
97,164,128.36363636363637,128.0,17.42136998721412,1412,11,239
54,203,120.16666666666667,109.5,57.246300220091854,721,6,240
236,479,385.25,409.5,72.7749098247466,4623,12,241
132,213,171.625,167.0,26.565661576554046,1373,8,242
174,174,174.0,174.0,0.0,174,1,243
143,191,162.8,164.0,17.451647486698786,814,5,244
156,157,156.5,156.5,0.5,313,2,245
460,525,483.25,474.0,26.677471769266294,1933,4,246
157,323,241.56,250.0,43.222290545504414,6039,25,247
221,276,248.5,248.5,27.5,497,2,248
194,376,273.0,264.0,67.02238432046416,1638,6,249
204,204,204.0,204.0,0.0,204,1,250
268,304,286.3333333333333,287.0,14.70449666674185,859,3,251
196,215,205.5,205.5,9.5,411,2,252
154,154,154.0,154.0,0.0,154,1,253
103,182,148.14285714285714,153.0,26.10105948275757,1037,7,254
--,--,--,--,--,--,0,255
212,313,257.4,242.0,37.04375790872195,1287,5,256
78,171,136.16666666666666,140.5,29.571476497162298,817,6,257
166,227,190.0,177.0,26.54555832275273,570,3,258
211,247,226.75,224.5,13.045593125649749,907,4,259
105,131,115.75,113.5,9.627434756984853,463,4,260
258,464,348.2,342.0,66.53840995996222,1741,5,261
235,333,278.3333333333333,281.0,28.079252918203586,2505,9,262
164,286,226.0,232.0,42.750438594241345,2260,10,263
332,431,378.4,373.5,31.235236512631047,3784,10,264
209,290,249.66666666666666,250.0,33.06895153396242,749,3,265
731,913,834.0,846.0,65.64297372910524,3336,4,266
291,378,337.625,338.0,29.163065253844632,2701,8,267
152,284,228.66666666666666,227.5,45.43004390146337,1372,6,268
56,237,133.92307692307693,112.0,55.66722767200097,1741,13,269
234,253,242.66666666666666,241.0,7.84573486395988,728,3,270
191,191,191.0,191.0,0.0,191,1,271
78,278,152.0,138.5,47.898503804050776,4560,30,272
428,540,477.5,471.0,40.52468383590426,1910,4,273
71,347,176.78947368421052,156.0,76.11319751899205,3359,19,274
159,321,244.375,241.0,44.721184856843855,3910,16,275
144,350,228.94736842105263,232.0,52.42987666168025,4350,19,276
119,161,138.8,134.0,17.656726763474595,694,5,277
153,234,189.66666666666666,189.0,25.564732651752013,1707,9,278
64,331,172.55555555555554,160.5,79.37759425137425,3106,18,279
115,310,209.375,220.5,65.87286524055257,1675,8,280
127,246,182.16666666666666,169.0,38.242283172193346,1093,6,281
149,266,197.4,195.0,31.56643787315889,1974,10,282
153,256,204.85714285714286,210.0,25.954696270682913,4302,21,283
100,237,161.2941176470588,149.0,45.15693511441333,2742,17,284
205,318,260.1666666666667,266.5,42.21143868142325,1561,6,285
112,232,183.57142857142858,195.5,33.57234041314854,2570,14,286
148,397,264.93023255813955,265.0,52.25402859681806,11392,43,287
92,378,199.0,194.0,54.33197618680583,10945,55,288
50,300,170.0909090909091,172.0,58.99492203949659,7484,44,289
153,227,188.8,190.5,20.448960853794013,1888,10,290
166,347,266.625,273.0,50.52953962782562,6399,24,291
26,288,172.8148148148148,179.0,67.05527683107148,9332,54,292
169,363,244.91304347826087,250.0,46.32391911358092,5633,23,293
104,255,203.04761904761904,225.0,47.433639048450466,4264,21,294
211,265,241.5,245.0,23.21098877687032,966,4,295
174,538,335.3333333333333,313.0,97.77241146890285,6036,18,296
16,313,154.85,148.0,71.0628419077087,3097,20,297
1662,1860,1786.8,1804.0,69.47344816546823,8934,5,298
213,306,260.35714285714283,266.0,30.158171465167595,3645,14,299
227,389,317.64516129032256,317.0,39.65215560759369,9847,31,300
156,301,247.0,254.0,34.790972459905205,8398,34,301
330,418,372.625,369.5,30.98159736036862,5962,16,302
180,599,352.6551724137931,316.0,123.60791065580881,10227,29,303
85,226,143.03030303030303,136.0,34.47307675738117,4720,33,304
160,318,252.44444444444446,262.0,56.297051651852584,2272,9,305
55,289,159.625,153.0,53.550297618220576,6385,40,306
200,337,260.18918918918916,259.0,35.08741041474643,9627,37,307
65,332,172.61904761904762,154.0,70.33895905540352,3625,21,308
364,1168,755.4090909090909,711.0,276.0225055203271,16619,22,309
79,241,153.52,150.0,46.161559765675165,3838,25,310
32,227,96.78947368421052,93.0,36.2301303521948,11034,114,311
84,309,168.6153846153846,159.0,64.76648998403473,2192,13,312
9,234,83.78169014084507,80.0,40.39856297074403,11897,142,313
88,273,155.8125,148.0,41.960128023517754,7479,48,314
73,397,168.3134328358209,158.5,52.73425603777329,45108,268,315
94,303,194.09375,187.5,62.57014033017266,6211,32,316
61,349,151.0,125.0,68.14948966189307,5134,34,317
61,289,138.98529411764707,112.0,64.02033055923326,9451,68,318
128,316,206.075,197.0,51.09422056358234,8243,40,319
71,314,175.39705882352942,167.5,68.78272263094819,11927,68,320
103,404,203.5,172.5,72.99521410374301,15873,78,321
142,424,273.17391304347825,260.0,75.97176373290337,6283,23,322
92,379,214.34,199.5,76.04067595701657,10717,50,323
92,389,179.36363636363637,162.0,65.17313242496976,21703,121,324
67,393,228.44230769230768,218.0,82.46267534735814,11879,52,325
68,332,154.5,147.5,40.184439969797694,31518,204,326
79,375,162.04658385093168,147.0,56.2003487213777,52179,322,327
139,311,223.94736842105263,221.0,49.54261715056466,4255,19,328
97,350,183.53703703703704,161.0,69.96075962650168,9911,54,329
170,238,203.5,195.0,24.655966147500013,1221,6,330
154,182,164.66666666666666,158.0,12.364824660660938,494,3,331
323,416,365.625,362.0,26.038133093599473,2925,8,332
262,328,296.25,297.5,24.742423082632794,1185,4,333
176,277,224.6153846153846,225.0,30.653242924283685,2920,13,334
261,290,278.75,282.0,11.321991874224253,1115,4,335
105,255,194.0,222.0,64.35837163881635,582,3,336
299,354,323.5,320.5,21.02974084481309,1294,4,337
162,353,261.0,257.0,45.75570899527596,13833,53,338
108,626,284.09090909090907,202.0,155.6321154900261,6250,22,339
225,247,236.0,236.0,11.0,472,2,340
348,423,376.25,367.0,28.4022446296063,1505,4,341
188,207,199.4,201.0,6.406246951218787,997,5,342
107,175,141.11111111111111,143.0,21.558419053788832,1270,9,343
164,254,194.91666666666666,189.0,27.363169691312365,2339,12,344
155,193,174.0,174.0,19.0,348,2,345
203,255,229.33333333333334,230.0,21.23414441151065,688,3,346
295,384,346.3333333333333,360.0,37.59728122558273,1039,3,347
196,239,217.5,217.5,21.5,435,2,348
162,286,231.64705882352942,237.0,33.93929039514456,3938,17,349
174,279,240.0,241.0,28.482849704211958,2640,11,350
94,239,165.8,162.0,47.6294026836365,1658,10,351
105,816,358.0,291.5,197.77331901519406,5012,14,352
254,381,316.7,321.5,31.247559904734963,3167,10,353
92,170,125.8,124.0,23.608473055240143,1258,10,354
187,307,250.8695652173913,260.0,39.65975328019259,5770,23,355
220,301,246.55555555555554,238.0,23.77258510278459,2219,9,356
154,280,236.31578947368422,241.0,30.485635325819217,4490,19,357
182,256,214.5,219.5,24.49319633422038,1287,6,358
117,274,211.4375,213.5,40.96335061674033,3383,16,359
63,212,120.77551020408163,112.0,32.47307538160948,5918,49,360
88,191,137.33333333333334,135.0,26.990533319830657,2060,15,361
70,235,149.55555555555554,122.0,55.996252079166695,1346,9,362
210,268,239.33333333333334,240.0,23.683092891108817,718,3,363
275,328,300.25,299.0,22.68672519338126,1201,4,364
192,250,220.66666666666666,220.0,23.683092891108817,662,3,365
239,304,268.5,265.5,23.178653972998518,1074,4,366
303,416,368.25,377.0,46.072632874625256,1473,4,367
258,321,299.25,309.0,24.681724007856502,1197,4,368
234,427,301.2857142857143,273.0,67.36831448031313,2109,7,369
141,303,220.2,225.0,52.890074683252244,1101,5,370
168,313,238.75,235.5,39.06004992316318,2865,12,371
235,371,289.0,261.0,58.94630324852159,867,3,372
182,274,241.58333333333334,254.0,25.96298112484175,2899,12,373
95,311,192.4,191.0,82.6718815559438,1924,10,374
163,268,206.8,203.0,31.530302884685394,3102,15,375
137,235,177.66666666666666,161.0,41.7079795189788,533,3,376
20,319,142.21212121212122,115.0,85.63409034277058,4693,33,377
121,298,206.55555555555554,202.0,50.51316904445394,1859,9,378
247,336,270.0,248.5,38.11167800031901,1080,4,379
71,260,160.21621621621622,161.0,45.70832033497996,5928,37,380
46,238,126.66666666666667,107.5,64.79626189492382,760,6,381
121,287,190.15384615384616,184.0,47.00711264322937,2472,13,382
146,214,182.33333333333334,184.0,21.72683952063796,2188,12,383
54,210,124.88888888888889,126.0,42.7588702803795,1124,9,384
173,257,231.125,240.0,27.374429217793747,1849,8,385
142,277,217.5,225.5,40.26474885057648,1740,8,386
210,224,217.0,217.0,7.0,434,2,387
45,318,172.37209302325581,174.0,67.55326004073291,7412,43,388
126,263,210.0,204.5,45.149750829877235,1680,8,389
53,230,114.03333333333333,98.0,48.97242988548648,3421,30,390
47,205,118.66666666666667,119.0,51.402550736536625,712,6,391
95,130,110.33333333333333,106.0,14.613540144521982,331,3,392
203,269,225.66666666666666,205.0,30.652170486860395,677,3,393
48,370,130.875,112.0,63.511686916661255,6282,48,394
224,233,228.5,228.5,4.5,457,2,395
150,225,190.4,205.0,29.431955422635447,952,5,396
118,240,170.85714285714286,163.0,44.36674614241286,1196,7,397
195,246,228.25,236.0,19.638928178492836,913,4,398
129,175,146.33333333333334,135.0,20.417857108151406,439,3,399
167,276,221.5,221.5,54.5,443,2,400
152,242,195.33333333333334,194.0,29.674156357941428,1172,6,401
143,303,242.5,262.0,64.22421661647576,970,4,402
186,240,220.0,235.5,24.1039415863879,1320,6,403
88,259,160.375,136.0,55.12018119527547,1283,8,404
248,248,248.0,248.0,0.0,248,1,405
129,299,212.11111111111111,217.5,45.5483734175838,3818,18,406
238,283,256.3333333333333,248.0,19.293061504650375,769,3,407
166,224,189.25,183.5,24.283482040267618,757,4,408
9,419,137.2871287128713,111.0,87.82693790887156,13866,101,409
169,251,206.33333333333334,208.0,28.50536011973109,1238,6,410
145,279,217.75,220.5,42.00520801043604,3484,16,411
196,199,197.5,197.5,1.5,395,2,412
--,--,--,--,--,--,0,413
222,267,244.5,244.5,22.5,489,2,414
169,308,235.0,228.0,56.96197562116913,705,3,415
241,277,259.0,259.0,18.0,518,2,416
197,199,198.0,198.0,1.0,396,2,417
160,271,204.4,194.0,42.02189905275581,1022,5,418
176,349,251.1,248.0,46.69571714836383,2511,10,419
233,248,240.5,240.5,7.5,481,2,420
70,332,184.42857142857142,218.0,90.10447450893108,1291,7,421
97,293,202.73333333333332,226.0,68.1424651414634,3041,15,422
46,251,125.18181818181819,111.0,56.9606214563554,2754,22,423
166,286,232.92857142857142,231.0,29.094585371838235,3261,14,424
203,290,240.0,235.0,26.874709300753377,1920,8,425
20,345,141.40540540540542,126.0,70.3932811057678,5232,37,426
95,290,165.07692307692307,154.0,48.44260924570997,2146,13,427
193,218,205.0,204.5,9.669539802906858,820,4,428
287,370,310.1818181818182,305.0,22.530053390640774,3412,11,429
250,307,278.5,278.5,28.5,557,2,430
193,281,246.0,264.0,38.113864493995706,738,3,431
200,230,215.0,215.0,15.0,430,2,432
242,393,303.2,275.0,56.80281683156215,1516,5,433
272,286,279.0,279.0,5.385164807134504,1116,4,434
186,294,235.75,231.5,47.49934210070704,943,4,435
191,191,191.0,191.0,0.0,191,1,436
275,325,294.75,289.5,19.395553614166314,1179,4,437
265,304,280.75,277.0,14.905955185763842,1123,4,438
166,333,255.86666666666667,244.0,49.042657169266654,3838,15,439
212,358,292.14285714285717,308.0,50.99419734896615,2045,7,440
239,325,284.3333333333333,289.0,35.264083081168515,853,3,441
130,192,169.33333333333334,186.0,27.920522121829233,508,3,442
257,285,271.0,271.0,14.0,542,2,443
382,422,399.3333333333333,394.0,16.75974011996871,1198,3,444
192,313,271.1666666666667,291.0,40.944745966023795,1627,6,445
86,255,183.23076923076923,197.0,51.3482137299287,2382,13,446
78,352,256.5658914728682,271.0,54.34213249165108,33097,129,447
183,246,221.46153846153845,222.0,20.025427622882113,2879,13,448
130,336,246.16666666666666,260.5,69.49200593513537,2954,12,449
201,322,239.0,216.5,48.55409354524086,956,4,450
150,345,259.2857142857143,272.5,52.952038368196355,3630,14,451
110,353,230.42857142857142,219.5,70.61081896637398,6452,28,452
140,378,259.0,250.5,72.70979497780395,3626,14,453
146,286,212.125,199.5,41.95663684090992,1697,8,454
162,274,233.8,245.5,33.486713783230506,2338,10,455
260,911,576.0,566.5,242.35614289718345,2304,4,456
281,339,311.3333333333333,312.0,18.153665072253467,1868,6,457
196,293,260.2,277.0,36.8423669163641,1301,5,458
104,336,190.9047619047619,185.0,55.441006623432635,4009,21,459
257,310,279.8,283.0,18.126224096595518,1399,5,460
188,357,290.1,308.0,49.60131046655925,2901,10,461
36,317,187.12280701754386,182.5,64.19161834542624,21332,114,462
219,447,340.57894736842104,338.0,59.04887876244979,6471,19,463
10,107,60.666666666666664,60.0,24.250794009702243,2002,33,464
67,445,203.0,165.5,91.95025829218753,8120,40,465
36,288,133.2058823529412,132.0,65.55993190417662,9058,68,466
101,301,177.1,168.5,49.377018946064375,3542,20,467
136,345,254.28,262.0,62.33812316712784,6357,25,468
152,382,253.11111111111111,250.0,45.4001414040328,13668,54,469
54,159,105.0,98.0,36.17181222996714,525,5,470
67,222,133.61111111111111,138.5,43.269361612126744,2405,18,471
261,361,306.75,298.0,29.34770008024479,6135,20,472
283,372,311.0,304.0,27.17075633838705,2488,8,473
166,1462,525.4444444444445,326.0,384.91836556359345,42561,81,474
92,240,163.66666666666666,161.0,36.642849407468475,6874,42,475
1920,2862,2331.3673469387754,2271.0,222.58327438470846,228474,98,476
234,4828,1747.1002087682673,1512.0,1157.4494250664238,836861,479,477
204,299,252.5,257.0,27.41988329661525,7575,30,478
196,287,239.66666666666666,238.5,29.011491975882016,4314,18,479
109,276,192.0,218.0,54.1453071439648,1344,7,480
85,299,173.36363636363637,167.0,63.940700833979726,1907,11,481
78,228,149.4,140.5,37.82776757885667,2988,20,482
236,303,270.125,266.5,19.36128546868725,2161,8,483
164,242,206.66666666666666,214.0,32.262809686834295,620,3,484
191,275,241.5,250.0,31.539657575820318,966,4,485
134,297,229.0,239.0,48.82622246293481,2519,11,486
162,162,162.0,162.0,0.0,162,1,487
8,4324,753.6931106471816,459.0,737.6430499067351,361019,479,488
102,514,274.2192513368984,260.0,71.51343356452804,51279,187,489
